"mission_name","region","station","year","month","day","season","event_id","nominal_depth","Chlorophyll_A_0_100"
"AMU2019001","LAS","L3_05",2019,6,21,"Summer","345",194.75,240.8895
"AMU2019001","LAS","L3_06",2019,6,21,"Summer","340",244.940002441406,164.834
"AMU2019001","LAS","L3_07",2019,6,21,"Summer","336",364.622497558594,81.633
"AMU2019001","LAS","L3_08",2019,6,21,"Summer","332",897.997497558594,76.2215
"97009","CLS","112_7",1997,6,5,"Spring","97009340",3491.12744140625,56.025
"97009","CLS","49_4",1997,5,22,"Spring","97009150",3150.71508789062,373.97
"97009","CLS","50_6",1997,5,22,"Spring","97009157",3330.4716796875,95.59
"97009","CLS","53_5",1997,5,23,"Spring","97009168",3579.6826171875,309.84
"97009","CLS","57_2",1997,5,24,"Spring","97009180",3559.6201171875,98.31
"97009","CLS","67_6",1997,5,25,"Spring","97009200",3087.81005859375,370.98
"97009","CLS","67_6",1997,5,26,"Spring","97009200",3087.81005859375,89.4
"HUD2000009","CLS","0",2000,6,3,"Spring","2000009119",3494.8125,103.686295
"HUD2000009","CLS","AR7W-11",2000,5,26,"Spring","2000009043",2889.18359375,55.75949
"HUD2000009","CLS","AR7W-12",2000,5,26,"Spring","2000009041",3148.5,87.32608
"HUD2000009","CLS","AR7W-14",2000,5,30,"Spring","2000009072",3495.99755859375,116.71519
"HUD2000009","CLS","AR7W-16",2000,5,31,"Spring","2000009080",3552.87744140625,74.979935
"HUD2000009","CLS","AR7W-16B",2000,6,3,"Spring","2000009110",3589.81494140625,53.11965
"HUD2000009","CLS","AR7W-17",2000,6,2,"Spring","2000009103",3591.75,61.323455
"HUD2000009","CLS","AR7W-21",2000,6,1,"Spring","2000009101",3314.45166015625,159.819225
"HUD2000009","CLS","AR7W-22",2000,5,31,"Spring","2000009090",3150.71508789062,416.7524
"HUD2000009","CLS","AR7W-23",2000,6,1,"Spring","2000009097",3034.28393554688,740.5765
"HUD2000009","CLS","AR7W-23",2000,6,1,"Spring","2000009098",2976.07861328125,466.462375
"HUD2000009","CLS","L3-15",2000,6,3,"Spring","2000009112",3515.6826171875,171.19566
"HUD2000009","CLS","L3-20",2000,5,31,"Spring","2000009087",3482.4951171875,109.566635
"HUD2000009","CLS","Labrador S",2000,5,26,"Spring","2000009039",3300.99755859375,90.429275
"HUD2000009","CLS","M1372",2000,5,30,"Spring","2000009077",3521.06005859375,103.926005
"HUD2001022","CLS","Site 11",2001,6,5,"Spring","2001022072",2889.18359375,79.2991
"HUD2001022","CLS","Site 12",2001,6,5,"Spring","2001022079",3122.8701171875,231.43778
"HUD2001022","CLS","Site 13",2001,6,10,"Spring","2001022209",3300.99755859375,158.523565
"HUD2001022","CLS","Site 13",2001,6,10,"Spring","2001022211",3300.99755859375,136.491255
