"polygon" "year" "index" "annual_mean" "mean_climatology" "sd_climatology" "anomaly" "standardized_anomaly"
"CLS" 1995 "Calanus" 81199.16333 19097.6992260922 11062.9575627078 62101.4641039078 5.61345948873978
"CLS" 1996 "Calanus" 18059.35866667 19097.6992260922 11062.9575627078 -1038.34055942222 -0.0938574114143193
"CLS" 1997 "Calanus" 9042.5111109 19097.6992260922 11062.9575627078 -10055.1881151922 -0.908905964629866
"CLS" 1998 "Calanus" 18050.3688889 19097.6992260922 11062.9575627078 -1047.33033719222 -0.0946700130824576
"CLS" 1999 "Calanus" 46652.9916633 19097.6992260922 11062.9575627078 27555.2924372078 2.49077087035876
"CLS" 2000 "Calanus" 22447.710768 19097.6992260922 11062.9575627078 3350.01154190778 0.30281337724736
"CLS" 2001 "Calanus" 20951.208305 19097.6992260922 11062.9575627078 1853.50907890778 0.167541913489371
"CLS" 2002 "Calanus" 44547.34429 19097.6992260922 11062.9575627078 25449.6450639078 2.30043773734576
"CLS" 2003 "Calanus" 49950.63589667 19097.6992260922 11062.9575627078 30852.9366705778 2.78885067539083
"CLS" 2004 "Calanus" 20834.18666633 19097.6992260922 11062.9575627078 1736.48744023778 0.156964123779278
"CLS" 2005 "Calanus" 19068.5536179 19097.6992260922 11062.9575627078 -29.1456081922224 -0.00263452228095582
"CLS" 2006 "Calanus" 15798.7907728 19097.6992260922 11062.9575627078 -3298.90845329222 -0.298194080072451
"CLS" 2007 "Calanus" 46846.801153 19097.6992260922 11062.9575627078 27749.1019269078 2.50828964764787
"CLS" 2008 "Calanus" 15356.490636 19097.6992260922 11062.9575627078 -3741.20859009222 -0.338174359694145
"CLS" 2009 "Calanus" 18587.1208792 19097.6992260922 11062.9575627078 -510.578346892224 -0.0461520659369909
"CLS" 2010 "Calanus" 11328.8946223 19097.6992260922 11062.9575627078 -7768.80460379222 -0.702235777345845
"CLS" 2011 "Calanus" 24794.044286 19097.6992260922 11062.9575627078 5696.34505990778 0.514902550029624
"CLS" 2012 "Calanus" 20071.0127322 19097.6992260922 11062.9575627078 973.313506107777 0.0879795028219871
"CLS" 2013 "Calanus" 27544.2384556 19097.6992260922 11062.9575627078 8446.53922950778 0.763497390424804
"CLS" 2014 "Calanus" 7950.77306362 19097.6992260922 11062.9575627078 -11146.9261624722 -1.00759006796225
"CLS" 2015 "Calanus" 7866.7233548 19097.6992260922 11062.9575627078 -11230.9758712922 -1.01518746751328
"CLS" 2016 "Calanus" 8329.16827091 19097.6992260922 11062.9575627078 -10768.5309551822 -0.973386266208045
"CLS" 2017 "Calanus" 0 19097.6992260922 11062.9575627078 -19097.6992260922 -1.72627429128615
"CLS" 2018 "Calanus" 38321.5643183 19097.6992260922 11062.9575627078 19223.8650922078 1.73767864363953
"CLS" 2019 "Calanus" 17661.3041677 19097.6992260922 11062.9575627078 -1436.39505839222 -0.129838250779717
"CLS" 2020 "Calanus" NA NA NA NA NA
"CLS" 2021 "Calanus" NA NA NA NA NA
"CLS" 2022 "Calanus" NA NA NA NA NA
"CLS" 2023 "Calanus" NA NA NA NA NA
"GS" 1995 "Calanus" 108830.865 52399.5310802411 71770.0198666942 56431.3339197589 0.786280037605878
"GS" 1996 "Calanus" 32764.124 52399.5310802411 71770.0198666942 -19635.4070802411 -0.27358787299644
"GS" 1997 "Calanus" 25068.58963 52399.5310802411 71770.0198666942 -27330.9414502411 -0.380812789253865
"GS" 1998 "Calanus" 0 52399.5310802411 71770.0198666942 -52399.5310802411 -0.730103338100897
"GS" 1999 "Calanus" 98420.338222 52399.5310802411 71770.0198666942 46020.8071417589 0.64122606106614
"GS" 2000 "Calanus" 11633.35 52399.5310802411 71770.0198666942 -40766.1810802411 -0.568011283206558
"GS" 2001 "Calanus" 100550.865333 52399.5310802411 71770.0198666942 48151.3342527589 0.670911535794407
"GS" 2002 "Calanus" 91624.468 52399.5310802411 71770.0198666942 39224.9369197589 0.546536520299359
"GS" 2003 "Calanus" 86018.680296 52399.5310802411 71770.0198666942 33619.1492157589 0.468428868742174
"GS" 2004 "Calanus" 50761.96463 52399.5310802411 71770.0198666942 -1637.56645024111 -0.0228168593694516
"GS" 2005 "Calanus" 25783.436 52399.5310802411 71770.0198666942 -26616.0950802411 -0.370852552774514
"GS" 2006 "Calanus" 286481.797114 52399.5310802411 71770.0198666942 234082.266033759 3.26156055785611
"GS" 2007 "Calanus" 84899.662222 52399.5310802411 71770.0198666942 32500.1311417589 0.452837148465679
"GS" 2008 "Calanus" 10242.5047818 52399.5310802411 71770.0198666942 -42157.0262984411 -0.587390478318714
"GS" 2009 "Calanus" 21189.2929221 52399.5310802411 71770.0198666942 -31210.2381581411 -0.434864560663507
"GS" 2010 "Calanus" 26330.8283182 52399.5310802411 71770.0198666942 -26068.7027620411 -0.36322551965934
"GS" 2011 "Calanus" 25481.799029 52399.5310802411 71770.0198666942 -26917.7320512411 -0.375055379686925
"GS" 2012 "Calanus" 166561.233892 52399.5310802411 71770.0198666942 114161.702811759 1.59066004194792
"GS" 2013 "Calanus" 8621.4095041 52399.5310802411 71770.0198666942 -43778.1215761411 -0.60997783834329
"GS" 2014 "Calanus" 14890.0279017 52399.5310802411 71770.0198666942 -37509.5031785411 -0.522634705246165
