bin,value
19359655,8.77893543243408
19359656,9.09736442565918
19359657,6.20764303207398
19359658,4.73664617538452
19359659,4.46428632736206
19359660,3.77981793880463
19359661,3.08822059631348
19359662,4.07757957776388
19359663,3.51347931226095
19359664,2.56763362884522
19359665,2.06896305084229
19359666,1.87080097198486
19359667,1.7221477329731
19359668,1.37046566605568
19359669,0.772922247648239
19359670,0.551934719085693
19359671,0.559444338083267
19359672,0.590346127748489
19359673,0.723331689834595
19359674,0.626617193222046
19359675,0.624023675918579
19359676,0.660477777322133
19359677,0.64300137758255
19359678,0.672451188166936
19359679,0.467057704925537
19359680,0.445101678371429
19359681,0.683800727128983
19359682,0.678908973932266
19359683,0.455870240926743
19359684,0.170703500509262
19359685,0.159600839018822
19359686,0.188596226274967
19359687,0.156507842242718
19359688,0.146103233098984
19359689,0.126077648252249
19359690,0.121232200413942
19359691,0.120364207774401
19359692,0.134032182395458
19359693,0.167130544781685
19359694,0.300332307815552
19359695,0.353100448846817
19359696,0.305611103773117
19359697,0.215445493658384
19359698,0.183444812893868
19359699,0.208698973059654
19359700,0.174538925290108
19359701,0.175491310656071
19359702,0.17887932062149
19359703,0.136212412267923
19359704,0.136116277426481
19359705,0.158445984125137
19359706,0.312009856104851
19359707,0.302065595984459
19359708,0.283183664083481
19359709,0.258149884641171
19359710,0.280504859983921
19359711,0.262406244874001
19359712,0.265533596277237
19359713,0.288120955228806
19359714,0.294169180095196
19359715,0.392649918794632
19359716,0.403941005468369
19359717,0.424740701913834
19359722,0.391110956668854
19359723,0.264514356851578
19359724,0.226142957806587
19359725,0.21070770919323
19359726,0.213831096887589
19359727,0.267557740211487
19359728,0.256927251815796
19359729,0.248066052794457
19359730,0.181106455624104
19359731,0.124181085576614
19359732,0.0615208093076944
19359733,0.0711656808853149
19359734,0.0678050592541695
19359735,0.061635073274374
19359736,0.0554657690227032
19359737,0.0499678552150726
19359738,0.048753660172224
19359739,0.0407112278044224
19359740,0.0382544910535216
19359741,0.0453013330698013
19359742,0.0454600974917412
19359743,0.0481059290468693
19359744,0.0424178391695023
19359745,0.0445313099771738
19359746,0.0423177210614085
19359747,0.0420357901602983
19359748,0.0394115298986435
19359749,0.0421430729329586
19359750,0.0569653753191233
19359751,0.0652455259114504
19359752,0.0657295864075422
19359753,0.0737947914749384
19359754,0.140458600595593
19359755,0.179407212883234
19359756,0.0390422679483891
19359757,0.0418170839548111
19359758,0.0465431176126003
19359759,0.0501509644091129
19359760,0.124839499592781
19359761,0.126116335391998
19359762,0.10200247168541
19359763,0.14548596739769
19359764,0.180348977446556
19359765,0.201447129249573
19359766,0.178109839558601
19359767,0.128035511821508
19359768,0.186476357281208
19359769,0.222399145364761
19359770,0.398288726806641
19359771,0.395189762115479
19359772,0.30145774781704
19359773,0.331261232495308
19359774,0.290159277617931
19359775,0.31297467648983
19359776,0.316269725561142
19359777,0.263140879571438
19359778,0.314818471670151
19359779,0.571430079638958
19359780,0.841621160507202
19359781,0.464861154556274
19359782,0.752245545387268
19359783,0.855452418327332
19359784,0.692901730537415
19359785,0.628824785351753
19359786,0.908676624298096
19359787,0.548022218048573
19359788,0.500947199761868
19359789,0.404084715992212
19359790,0.42331662774086
19359791,0.889268577098846
19359792,0.694051072001457
19359793,0.618628412485123
19359794,0.509081184864044
19359795,0.535997331142426
19359796,0.635013163089752
19359797,0.482302784919739
19359798,0.520993649959564
19359799,0.589834034442902
19359800,0.551366865634918
19359801,0.498542100191116
19359802,0.502179980278015
19359803,0.538917124271393
19359804,0.4643993973732
19359805,0.413444012403488
19359806,0.468372851610184
19359807,0.466237813234329
19359808,0.482181370258331
19359809,0.543388605117798
19359810,0.53685200214386
19359811,0.474534749984741
19359812,0.52340704202652
19359813,0.404999583959579
19359814,0.471150159835815
19359816,0.158828034996986
19359817,0.154216662049294
19359818,0.189223498106003
19359819,0.210588976740837
19359820,0.197783887386322
19359821,0.187789499759674
19359822,0.171453401446342
19359823,0.0957540906965733
19359824,0.126978009939194
19359825,0.14757439494133
19359826,0.136532098054886
19359827,0.132679730653763
19359828,0.126551583409309
19359829,0.110564351081848
19359830,0.205909550189972
19359831,0.190178960561752
19359832,0.373738884925842
19359833,0.471590459346771
19359834,0.284610480070114
19359835,0.553865313529968
19359836,0.513989210128784
19359837,0.495622336864471
19359838,0.305079996585846
19359839,0.305600255727768
19359840,0.319200336933136
19359841,0.428446173667908
19359842,0.440502822399139
19359843,0.252268970012665
19359844,0.189119301736355
19359845,0.23338271304965
19359846,0.0714931190013886
19359847,0.150638554245234
19359848,0.0950679667294025
19359849,0.102165643125772
19359850,0.13873590528965
19359851,0.152416825294495
19359852,0.170896291732788
19359853,0.157266061753035
19359854,0.138112304111322
19359855,0.134964453677336
19359856,0.131348975002766
19359857,0.138048425316811
19359858,0.128090764085452
19359859,0.128833363453547
19359860,0.12931734820207
19359861,0.154289521276951
19359862,0.178446292877197
19359863,0.162446230649948
19359864,0.169223010540009
19359865,0.166506230831146
19359866,0.179300338029861
19359867,0.164878524839878
19359868,0.158171022931735
19359869,0.155247514446576
19359870,0.147168055176735
19359871,0.133863747119904
19359872,0.125998598833879
19359873,0.134920674065749
19359874,0.14004810526967
19359875,0.114123411476612
19359876,0.0750915687531233
19359877,0.0668408516794443
19359878,0.0828551836311817
19359879,0.102028442546725
19359880,0.124739827588201
19359881,0.11995542794466
19359882,0.114033957011998
19359883,0.125369545072317
19359884,0.0712312273681164
19359885,0.0427381824702024
19359886,0.0372943319380283
19359887,0.0303902737796307
19359888,0.0273489197716117
19359889,0.0278731808066368
19359890,0.0265642078593373
19359891,0.0228618960827589
19359892,0.0257667433470488
19359893,0.0282488334923983
19359894,0.0265489332377911
19359895,0.0293652173131704
19359896,0.029825359582901
19359897,0.0349078066647053
19359898,0.0289184846915305
