"polygon" "year" "index" "mean_annual" "mean_climatology" "sd_climatology" "anomaly" "standardized_anomaly"
"CLS" 1997 "Chlorophyll_A_0_100" 199.159285714286 165.421685293944 84.9348250536198 33.737600420342 0.397217518244645
"CLS" 1998 "Chlorophyll_A_0_100" NA NA NA NA NA
"CLS" 1999 "Chlorophyll_A_0_100" NA NA NA NA NA
"CLS" 2000 "Chlorophyll_A_0_100" 187.442544666667 165.421685293944 84.9348250536198 22.0208593727229 0.259267730978678
"CLS" 2001 "Chlorophyll_A_0_100" 99.7405167647059 165.421685293944 84.9348250536198 -65.6811685292379 -0.773312578059389
"CLS" 2002 "Chlorophyll_A_0_100" NA NA NA NA NA
"CLS" 2003 "Chlorophyll_A_0_100" NA NA NA NA NA
"CLS" 2004 "Chlorophyll_A_0_100" 114.834312857143 165.421685293944 84.9348250536198 -50.5873724368009 -0.595602244484107
"CLS" 2005 "Chlorophyll_A_0_100" 69.8693423076923 165.421685293944 84.9348250536198 -95.5523429862514 -1.12500782718901
"CLS" 2006 "Chlorophyll_A_0_100" 249.821091666667 165.421685293944 84.9348250536198 84.3994063727229 0.993696123108998
"CLS" 2007 "Chlorophyll_A_0_100" 145.338366666667 165.421685293944 84.9348250536198 -20.0833186272771 -0.236455642483497
"CLS" 2008 "Chlorophyll_A_0_100" 224.501119230769 165.421685293944 84.9348250536198 59.0794339368255 0.69558551394588
"CLS" 2009 "Chlorophyll_A_0_100" 236.092353846154 165.421685293944 84.9348250536198 70.6706685522101 0.83205762191887
"CLS" 2010 "Chlorophyll_A_0_100" 160.0651915 165.421685293944 84.9348250536198 -5.35649379394374 -0.063065930736446
"CLS" 2011 "Chlorophyll_A_0_100" 192.656557692308 165.421685293944 84.9348250536198 27.2348723983639 0.320656131111949
"CLS" 2012 "Chlorophyll_A_0_100" 237.930816428571 165.421685293944 84.9348250536198 72.5091311346277 0.853703190521112
"CLS" 2013 "Chlorophyll_A_0_100" 262.506176666667 165.421685293944 84.9348250536198 97.0844913727229 1.14304693406307
"CLS" 2014 "Chlorophyll_A_0_100" 92.2711431578947 165.421685293944 84.9348250536198 -73.150542136049 -0.861254992753193
"CLS" 2015 "Chlorophyll_A_0_100" 340.968948888889 165.421685293944 84.9348250536198 175.547263594945 2.06684670845111
"CLS" 2016 "Chlorophyll_A_0_100" 84.0772225 165.421685293944 84.9348250536198 -81.3444627939437 -0.957728031376889
"CLS" 2017 "Chlorophyll_A_0_100" NA NA NA NA NA
"CLS" 2018 "Chlorophyll_A_0_100" 32.67497640625 165.421685293944 84.9348250536198 -132.746708887694 -1.56292438118157
"CLS" 2019 "Chlorophyll_A_0_100" 81.37796875 165.421685293944 84.9348250536198 -84.0437165439437 -0.989508325835563
"CLS" 2020 "Chlorophyll_A_0_100" NA NA NA NA NA
"CLS" 2021 "Chlorophyll_A_0_100" NA NA NA NA NA
"CLS" 2022 "Chlorophyll_A_0_100" 284.3807884375 165.421685293944 84.9348250536198 118.959103143556 1.40059278474356
"CLS" 2023 "Chlorophyll_A_0_100" 205.907841730769 165.421685293944 84.9348250536198 40.4861564368255 0.476673218685815
"GS" 1997 "Chlorophyll_A_0_100" 442.0425 383.573443441877 416.294889311808 58.4690565581233 0.140451055391961
"GS" 1998 "Chlorophyll_A_0_100" NA NA NA NA NA
"GS" 1999 "Chlorophyll_A_0_100" NA NA NA NA NA
"GS" 2000 "Chlorophyll_A_0_100" 454.50342 383.573443441877 416.294889311808 70.9299765581233 0.170383971504863
"GS" 2001 "Chlorophyll_A_0_100" 224.895818 383.573443441877 416.294889311808 -158.677625441877 -0.381166402749244
"GS" 2002 "Chlorophyll_A_0_100" NA NA NA NA NA
"GS" 2003 "Chlorophyll_A_0_100" NA NA NA NA NA
"GS" 2004 "Chlorophyll_A_0_100" 320.792803 383.573443441877 416.294889311808 -62.7806404418767 -0.150808097946294
"GS" 2005 "Chlorophyll_A_0_100" 156.06565 383.573443441877 416.294889311808 -227.507793441877 -0.546506333089935
"GS" 2006 "Chlorophyll_A_0_100" 136.830416428571 383.573443441877 416.294889311808 -246.743027013305 -0.592712121499269
"GS" 2007 "Chlorophyll_A_0_100" 86.0229166666667 383.573443441877 416.294889311808 -297.55052677521 -0.714759019182535
"GS" 2008 "Chlorophyll_A_0_100" 105.7677 383.573443441877 416.294889311808 -277.805743441877 -0.667329219201146
"GS" 2009 "Chlorophyll_A_0_100" 1661.6457125 383.573443441877 416.294889311808 1278.07226905812 3.07011280193939
"GS" 2010 "Chlorophyll_A_0_100" 321.432706 383.573443441877 416.294889311808 -62.1407374418768 -0.149270959210198
"GS" 2011 "Chlorophyll_A_0_100" 708.7193 383.573443441877 416.294889311808 325.145856558123 0.78104695711166
"GS" 2012 "Chlorophyll_A_0_100" 290.760807 383.573443441877 416.294889311808 -92.8126364418767 -0.222949257424968
"GS" 2013 "Chlorophyll_A_0_100" 1096.4914625 383.573443441877 416.294889311808 712.918019058123 1.71253127857676
"GS" 2014 "Chlorophyll_A_0_100" 212.041467083333 383.573443441877 416.294889311808 -171.531976358543 -0.412044396322302
"GS" 2015 "Chlorophyll_A_0_100" 281.702151 383.573443441877 416.294889311808 -101.871292441877 -0.244709447695319
"GS" 2016 "Chlorophyll_A_0_100" 110.314914166667 383.573443441877 416.294889311808 -273.25852927521 -0.656406158929655
"GS" 2017 "Chlorophyll_A_0_100" NA NA NA NA NA
"GS" 2018 "Chlorophyll_A_0_100" 170.363594166667 383.573443441877 416.294889311808 -213.20984927521 -0.512160621591283
